,h_distance,Elevation
0,0.0,19
1,0.038503075349606855,23
2,0.07700615069921679,21
3,0.11550922604882365,28
4,0.1540123013984305,28
5,0.19251537674804045,34
6,0.2310184520976473,34
7,0.26952152744725416,73
8,0.308024602796861,51
9,0.34652767814647095,72
10,0.3850307534960778,55
11,0.42353382884568463,408
12,0.4620369041952946,395
13,0.5005399795449015,535
14,0.5390430548945083,131
15,0.5775461302441182,298
16,0.6160492055937251,326
17,0.654552280943332,824
18,0.6930553562929419,335
19,0.7315584316425487,598
20,0.7700615069921556,616
21,0.8085645823417624,1177
22,0.8470676576913724,532
23,0.8855707330409792,1217
